Realization,Block,Event,Allisonia,Belva,Bluestone,GlenLyn,Hilldale,Marmet,Pipestem,Queen Shoals,Radford,Summersville,Sutton,Thurmund,Tornado,Winfield
1,45,436,5972.802231,14941.36978,76203.67,78426.43281,8611.566594,72608.2,1959.321332,7196.194283,7425.11,9853.764847,8103.59,62329.59735,4143.026983,74649.84363
1,45,437,4899.264936,14834.41833,75419.75,78220.71933,1063.436344,71471.88,444.0613762,6993.425153,6064.05,774.4667959,646.35,61318.32449,515.4407137,72695.48704
1,45,438,12788.44373,14901.11796,76115.9,78474.37611,1063.436344,71714.69,1224.421859,7137.377985,14052.5,2481.849159,3519.3,61325.55061,1992.797858,73361.72336
1,45,439,3928.469979,14909.50303,75130.21,77739.13349,12026.48133,72639.39,2949.895311,21867.50536,4727.61,18440.00503,13699.9,61659.2634,12937.03249,76326.82431
1,45,440,4749.460877,14865.97496,74883.43,77758.0315,1063.436344,71720.41,403.9963979,6988.094936,5274.27,774.4667959,1320.27,61318.46904,7183.299605,72985.40987
1,45,441,9814.690411,19150.71827,75277.62,77776.18502,4365.243068,73536.15,1722.328029,19713.22327,11481.35,15624.69955,9684.76,62363.0608,16155.43356,77326.15696
1,45,442,8953.282231,14900.9141,75609.42,78260.58369,1128.874423,71673.08,1014.647127,6986.492086,10548.54,774.4667959,381.77,61318.3126,1850.455006,72993.95038
1,45,443,3928.469979,14833.39018,74795.57,77681.93844,1063.436344,71466.21,403.9963979,6959.698697,4727.61,774.4667959,381.77,61318.29087,249.9347987,72404.36353
1,45,444,4448.713985,14935.26388,75154.42,77830.41074,2757.542175,72601.16,3050.564537,11352.25558,8548.39,9269.062541,10301.16,61634.35498,20292.51668,75383.32124
1,46,445,3928.469979,14833.39017,74793.82,77680.76164,1063.436344,71466.22,403.9963979,6959.719899,4727.61,774.4667959,381.77,61318.28413,249.9347987,72405.73487
1,46,446,8690.44215,15138.75671,77889.73,79183.65541,5895.114917,74186.64,4796.047139,10267.45174,10189.43,8829.7476,5970.41,62693.87684,7692.712256,79209.51262
1,46,447,64485.39575,31589.70695,79697.35,80429.3718,9581.745176,77555.51,13455.06275,35629.34144,75659.03,28517.82899,13344.85,62087.03355,39982.90338,146280.7126
1,46,448,4642.097071,14973.23925,75037.41,77750.81845,9035.781317,72666.85,948.1942256,8414.549993,5823.64,8087.780031,7055.42,62042.83603,5220.375921,75793.33454
1,46,449,32181.62412,15019.532,82110.38,81465.62785,16268.71478,73597.94,9706.480396,7448.117979,35209.12,2804.415114,2709.98,63450.57024,6726.426114,76603.56435
1,46,450,21305.11089,16684.79187,79109.7,79881.06202,11017.56596,73961.16,6508.496101,7512.972154,29297.74,7573.198539,3562.89,63523.45849,7431.755816,76538.79222
1,46,451,12517.04793,14958.59444,76812.56,78959.17258,4354.642557,72780.27,2215.053917,7280.545666,13968.86,4466.627411,4122.64,62042.61732,5437.384967,75545.32562
1,46,452,25455.22746,14948.7116,79938.28,79915.21367,11373.01028,73169.6,11257.44075,16666.38432,29160.25,6778.3948,5937.72,62897.19083,8861.958187,76336.8931
1,46,453,8656.004294,15132.66085,78019.39,78999.48655,3539.579018,74111.69,5207.812847,7840.925949,10233.3,4517.645551,4062.72,63000.02321,6943.255973,78060.91381
1,46,454,8605.101398,15093.61773,76150,78332.1098,9491.255668,74293.37,1629.767977,9057.559618,10032.17,5480.556795,5562.68,63323.57538,5150.015044,78004.97671
1,46,455,3928.469979,14896.95397,75288.31,77805.79939,1063.436344,71706.24,1342.300607,7161.666544,4730.8,901.0088161,1354.58,61319.01453,1678.241794,73816.98649
1,46,456,15559.07362,14918.94356,75408.45,78026.68416,4003.966075,72122.05,2182.691178,7108.244028,19131.77,2155.636122,2469.52,61731.32492,5164.348832,73922.45773
1,46,457,20061.17557,14999.5271,80506.29,81275.0291,6409.955816,73131.04,3446.885292,7214.46113,24083.4,3025.680203,3150.97,62894.22809,3026.487861,75623.15908
1,47,458,26456.3632,19169.05874,79937.82,80709.1409,54266.07433,94199.33,8512.445704,18190.26331,41575.84,23851.3553,14982.26,77745.77112,4946.777702,99435.68622
1,47,459,21140.72004,14988.89758,79143.4,80168.35824,3936.524922,73000.75,5732.453684,7393.735711,25453.31,5262.204098,3552.35,62226.99313,7855.95523,75908.66907
1,47,460,10626.46585,15021.42727,77745.5,79359.78651,11790.34918,73686.41,6538.213797,7307.832538,12081.05,12597.13543,5328.83,62747.97241,15290.42287,76786.4777
1,47,461,10004.20871,18181.98668,78425.12,79370.198,14981.11594,75426.65,4463.554635,14954.06221,11782.03,12992.03435,12401.82,63943.10655,16616.11326,81340.58628
1,47,462,3928.469979,14878.38976,74795.02,77680.83674,1119.742104,71624.29,519.8609573,7054.496641,4968.12,1151.793729,1442.77,61318.2927,931.5713388,72981.56131
1,47,463,22453.34939,14953.77357,76128.06,78230.75508,7464.869243,73218.75,3680.968346,9791.866065,24151.89,7884.836545,5252.09,61893.65672,17114.00823,76728.92809
1,47,464,38861.42173,14935.6498,79799.6,81453.93842,4415.510502,72945.49,3214.240069,7204.590692,43491.91,850.2784343,1373.92,62442.70585,3431.015458,75475.9707
1,47,465,5213.803814,14996.10495,76984.7,78661.76494,3113.399236,72934.2,3061.705889,7689.561764,6655.31,4342.154515,5263.3,62273.03305,4625.640639,75993.16144
1,47,466,4309.544119,14902.5138,74864.06,77701.11658,1229.207339,71813.77,813.6226453,7104.649773,5528.59,1906.035134,2118.06,61319.31969,4575.737617,73615.97491
1,47,467,15780.11085,14954.93491,76638.48,78550.3979,4206.671217,72492.31,2201.799655,7214.275788,18572.07,2219.840461,2268.42,62148.64465,3264.841626,74601.63169
1,47,468,11004.16555,15011.26388,76102.82,78185.38916,11613.8999,73857.65,2584.573376,7245.464262,12075.7,11762.41104,4743.84,63384.86806,8279.988467,76857.29739
1,47,469,10434.96468,14960.59952,76935.58,79019.49188,1491.483853,71999.07,2248.232129,7146.841893,14385.31,2629.86542,2341.91,61673.07601,976.8541591,73644.46421
1,47,470,16749.7899,14953.33358,79522.73,80383.65341,6070.201866,72510.96,5481.746734,7335.932857,19818.63,2149.839081,1825.29,62023.28729,4474.457,75098.85784
1,47,471,8340.944179,14914.83204,75665.63,78113.20913,1432.988695,71871.1,3909.569664,7123.406428,10845.17,9919.782459,5513.12,61377.98295,4057.528343,73685.96819
1,47,472,6233.202895,14916.87661,75203.82,77957.83264,1063.436344,72038.32,782.1426307,7118.934089,7444.51,1157.976357,1058.74,61322.28394,7463.137092,74208.31344
1,47,473,54537.76881,16922.68588,77298.75,79004.23088,20412.1946,74031.87,7455.658141,13554.83906,77535.96,15154.42455,9418.21,63279.48781,20429.01238,77532.18869
1,48,474,15437.24417,21126.35514,86937.54,81790.26408,46597.0885,107122.22,32669.189,12339.20064,20635.47,15147.83918,9516,78169.93873,23550.83349,135849.6836
1,48,475,28044.12839,14991.73601,78263.34,79655.1436,16370.81681,73265.94,8912.140281,13799.8475,37334.37,12716.01503,9246.2,62475.8842,9993.723827,76943.12836
1,48,476,5931.23732,15025.75536,76279.66,78416.22403,10849.94251,73773.23,1791.072036,9200.311237,7178.77,6600.885697,5232.26,63381.6869,5227.94345,77199.27534
1,48,477,13540.56975,14888.44591,75503.91,78237.72795,1063.436344,71709.66,654.1660387,7094.561397,15842.97,774.4667959,577.05,61318.44287,1131.480214,73426.4394
1,48,478,12606.18496,15042.15949,78534.33,79796.84085,6832.088919,73618.76,3750.38251,9041.110897,14953.01,6079.321156,7285.52,62895.40647,6770.423318,78087.08951
1,48,479,31931.38146,14998.23903,78318.02,79937.39618,50868.98433,74797.61,3802.323675,7203.58716,59274.56,11634.1813,8550.34,65673.25415,3511.999391,80462.06285
1,48,480,18519.88232,14965.11403,80189.99,80294.32007,24804.79328,73517.67,12069.01766,7252.30589,20759.02,10442.28608,12136.67,63281.83995,7175.430834,76841.16408
1,48,481,4807.072028,15118.72007,75891.64,78312.3407,9185.401645,72352.06,1890.652467,31557.91636,5827.7,19553.46791,23598.68,61484.01525,13132.70608,93069.41915
1,48,482,16477.65425,17692.90281,76828.34,78568.35759,11502.62333,72867.46,5775.86902,25923.2991,17729.9,13360.42441,6331.1,62039.92832,20608.9136,84808.33735
1,49,483,48125.71214,15114.6704,82070.69,82036.36973,16747.95798,74980.74,6037.380433,7730.453382,56073.05,15307.06521,10887.49,64778.60723,3274.308477,77893.2543
1,49,484,16092.98804,15186.53696,82363.48,82090.22519,19212.64737,76447.92,5814.621655,9515.216594,20048.81,12829.44741,5200.46,65766.491,8470.724572,80256.39611
1,49,485,212086.1718,22259.92003,79556.23,80609.30333,34100.89611,75343.36,10000.46692,22748.23248,244881.99,19453.55399,15872.11,63721.99124,30494.31765,119538.9492
1,49,486,9054.04412,23110.16975,80268.96,79819.55017,12024.52903,75979.79,6916.872287,12299.51073,10642.58,10904.5728,5805.36,64103.69012,15559.06467,87643.15133
1,49,487,11764.18132,15068.14514,78951.6,79805.87998,5499.290366,74272.22,5382.987197,7502.346092,14063.21,5201.967937,3855.62,63832.93069,4926.115542,77476.80629
1,49,488,3928.469979,18326.87315,77160.56,78783.8921,12145.08621,74285.87,6880.919965,28834.28966,4920.11,15589.66099,9779.73,62386.19513,14181.85556,88419.19491
1,49,489,11893.79766,15125.11195,78680.86,79545.29415,15391.14424,75192.11,6591.7731,8650.185455,15093.48,10730.80418,6813.51,64379.71202,11071.85739,79074.18574
1,49,490,18480.0002,14978.82355,78707.27,79924.48437,14012.06608,73139.97,5556.212892,9499.154451,21090.13,11618.87773,6905.36,62595.62653,6628.361458,75906.78353
1,49,491,7470.792039,14917.38611,76342.61,78370.84397,2989.641873,72067.33,5945.718433,7191.888851,9170.41,9258.220227,6012.14,61493.06679,6793.313815,74313.63385
1,50,492,7270.10773,14882.06619,77615.83,79388.60699,1951.402074,71575.32,2460.184368,6959.699603,9495.62,774.4667959,385.74,61368.26194,249.9347987,72539.72229
1,50,493,7218.250084,14904.6351,75057.61,77703.16966,8107.118665,72494.1,2122.700293,11506.05902,7876.47,14395.04132,14268.56,61791.25682,10847.74514,74579.39724
1,50,494,26699.11056,15486.98704,80285.8,80644.70621,14867.89773,73814.28,10507.50565,11368.84746,31230.11,8107.212,9352.87,62982.6946,12918.92812,77452.552
1,50,495,4022.393986,26421.34648,80349.03,79742.50785,46992.55071,112648.28,11448.10386,13369.6048,4954.88,19482.6978,11198.36,72143.99661,28374.66172,150051.5922
1,50,496,51711.35475,21541.66565,78532.99,80119.14259,32672.81529,73074.81,5011.6021,11921.10786,73614.5,20826.71736,20394.14,62299.67707,6536.757518,82131.57263
1,50,497,15811.80009,15002.30811,76228.78,78515.60005,1248.457557,73143.13,1768.993274,10318.79778,17708.13,5991.577838,3760.95,61524.35489,14008.11771,76823.05209
